POOL_ID,IS_OLD,IO_FIX,SPACE,PAGE_TYPE,IS_HASHED,FIX_COUNT,DATA_SIZE,FLUSH_TYPE,INDEX_NAME,COMPRESSED,TABLE_NAME,ACCESS_TIME,PAGE_NUMBER,LRU_POSITION,NUMBER_RECORDS,FREE_PAGE_CLOCK,COMPRESSED_SIZE,NEWEST_MODIFICATION,OLDEST_MODIFICATION
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349902,7,0,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349902,3,1,0,0,0,0,0
0,NO,IO_NONE,0,INODE,NO,0,0,0,NULL,NO,NULL,116349902,2,2,0,0,0,0,0
0,NO,IO_NONE,0,IBUF_INDEX,NO,0,0,0,NULL,NO,NULL,116349902,4,3,0,0,0,0,0
0,NO,IO_NONE,0,INDEX,NO,0,694,0,CLUST_IND,NO,`SYS_INDEXES`,116349903,11,4,10,0,0,0,0
0,NO,IO_NONE,0,IBUF_BITMAP,NO,0,0,0,NULL,NO,NULL,116349903,1,5,0,0,0,0,0
0,NO,IO_NONE,0,TRX_SYSTEM,NO,0,0,1,NULL,NO,NULL,116349903,5,6,0,0,0,1696204,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349903,6,7,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349904,301,8,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349904,45,9,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349905,306,10,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349905,46,11,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349905,309,12,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349905,47,13,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349906,310,14,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349906,48,15,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349906,311,16,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349906,49,17,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349906,312,18,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349906,50,19,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349906,313,20,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349907,321,21,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349907,51,22,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349908,322,23,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349908,52,24,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349908,314,25,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349908,324,26,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349908,53,27,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349908,315,28,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349908,54,29,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349908,316,30,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349908,55,31,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349908,317,32,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349909,56,33,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,318,34,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,325,35,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349909,57,36,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,319,37,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,326,38,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349909,58,39,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,327,40,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,334,41,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349909,59,42,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,320,43,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349909,328,44,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349910,60,45,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349910,337,46,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349910,61,47,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349910,335,48,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349910,62,49,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349910,336,50,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349910,63,51,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349910,329,52,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349910,192,53,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349910,330,54,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349910,193,55,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349911,338,56,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349911,194,57,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349911,339,58,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,195,59,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349912,333,60,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349912,340,61,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,196,62,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349912,331,63,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,197,64,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349912,332,65,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,198,66,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349912,341,67,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,199,68,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,200,69,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,201,70,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349912,342,71,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349912,202,72,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349913,343,73,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,203,74,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349913,344,75,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,204,76,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349913,347,77,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,205,78,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349913,345,79,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,206,80,0,0,0,0,0
0,NO,IO_NONE,0,UNDO_LOG,NO,0,0,0,NULL,NO,NULL,116349913,346,81,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,207,82,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,208,83,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,209,84,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,210,85,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,211,86,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,212,87,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,213,88,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349913,214,89,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349914,215,90,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349914,216,91,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349914,217,92,0,0,0,0,0
0,NO,IO_NONE,0,SYSTEM,NO,0,0,0,NULL,NO,NULL,116349914,218,93,0,0,0,0,0
