CHECKSUM,NODEGROUP,DATA_FREE,TABLE_ROWS,TABLE_NAME,CHECK_TIME,UPDATE_TIME,CREATE_TIME,DATA_LENGTH,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,TABLESPACE_NAME,MAX_DATA_LENGTH,PARTITION_METHOD,SUBPARTITION_NAME,PARTITION_COMMENT,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
NULL,<blank>,0,6,room,NULL,NULL,2019-03-03 18:21:39,16384,0,hotel,def,2730,NULL,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,ALL_PLUGINS,NULL,2019-07-18 22:18:44,2019-07-18 22:18:44,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,APPLICABLE_ROLES,NULL,NULL,2019-07-18 22:18:45,0,0,information_schema,def,979,NULL,NULL,16691950,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,CHARACTER_SETS,NULL,NULL,2019-07-18 22:18:45,0,0,information_schema,def,384,NULL,NULL,16434816,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLLATIONS,NULL,NULL,2019-07-18 22:18:46,0,0,information_schema,def,231,NULL,NULL,16704765,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,NULL,2019-07-18 22:18:46,0,0,information_schema,def,195,NULL,NULL,16357770,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLUMNS,NULL,2019-07-18 22:18:46,2019-07-18 22:18:46,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLUMN_PRIVILEGES,NULL,NULL,2019-07-18 22:18:47,0,0,information_schema,def,2893,NULL,NULL,16759149,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,ENABLED_ROLES,NULL,NULL,2019-07-18 22:18:47,0,0,information_schema,def,387,NULL,NULL,16563213,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,ENGINES,NULL,NULL,2019-07-18 22:18:47,0,0,information_schema,def,731,NULL,NULL,16663145,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,EVENTS,NULL,2019-07-18 22:18:47,2019-07-18 22:18:47,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,FILES,NULL,NULL,2019-07-18 22:18:47,0,0,information_schema,def,2677,NULL,NULL,16758020,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,GLOBAL_STATUS,NULL,NULL,2019-07-18 22:18:47,0,0,information_schema,def,6340,NULL,NULL,16762960,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,GLOBAL_VARIABLES,NULL,NULL,2019-07-18 22:18:48,0,0,information_schema,def,6340,NULL,NULL,16762960,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,KEY_CACHES,NULL,NULL,2019-07-18 22:18:48,0,0,information_schema,def,659,NULL,NULL,16650294,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,KEY_COLUMN_USAGE,NULL,NULL,2019-07-18 22:18:48,0,0,information_schema,def,4637,NULL,NULL,16762755,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,PARAMETERS,NULL,2019-07-18 22:18:48,2019-07-18 22:18:48,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,PARTITIONS,NULL,2019-07-18 22:18:49,2019-07-18 22:18:49,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,PLUGINS,NULL,2019-07-18 22:18:49,2019-07-18 22:18:49,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,PROCESSLIST,NULL,2019-07-18 22:18:49,2019-07-18 22:18:49,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,PROFILING,NULL,NULL,2019-07-18 22:18:50,0,0,information_schema,def,308,NULL,NULL,16562084,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,REFERENTIAL_CONSTRAINTS,NULL,NULL,2019-07-18 22:18:50,0,0,information_schema,def,4814,NULL,NULL,16767162,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,ROUTINES,NULL,2019-07-18 22:18:50,2019-07-18 22:18:50,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SCHEMATA,NULL,NULL,2019-07-18 22:18:50,0,0,information_schema,def,3464,NULL,NULL,16738048,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SCHEMA_PRIVILEGES,NULL,NULL,2019-07-18 22:18:50,0,0,information_schema,def,2507,NULL,NULL,16741746,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SESSION_STATUS,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,6340,NULL,NULL,16762960,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SESSION_VARIABLES,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,6340,NULL,NULL,16762960,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,STATISTICS,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,5753,NULL,NULL,16752736,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SYSTEM_VARIABLES,NULL,2019-07-18 22:18:51,2019-07-18 22:18:51,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLES,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,14829,NULL,NULL,16771599,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLESPACES,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,6951,NULL,NULL,16772763,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLE_CONSTRAINTS,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,2504,NULL,NULL,16721712,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLE_PRIVILEGES,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,2700,NULL,NULL,16750800,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TRIGGERS,NULL,2019-07-18 22:18:51,2019-07-18 22:18:51,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,USER_PRIVILEGES,NULL,NULL,2019-07-18 22:18:51,0,0,information_schema,def,2314,NULL,NULL,16732534,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,VIEWS,NULL,2019-07-18 22:18:51,2019-07-18 22:18:51,8192,8192,information_schema,def,0,NULL,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,GEOMETRY_COLUMNS,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,4244,NULL,NULL,16759556,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SPATIAL_REF_SYS,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,7691,NULL,NULL,16758689,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,CLIENT_STATISTICS,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,386,NULL,NULL,16520414,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INDEX_STATISTICS,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,1743,NULL,NULL,16765917,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_DATAFILES,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,12007,NULL,NULL,16773779,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLE_STATISTICS,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,1181,NULL,NULL,16733589,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_TABLESTATS,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,1215,NULL,NULL,16763355,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,USER_STATISTICS,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,567,NULL,NULL,16747479,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_INDEXES,NULL,NULL,2019-07-18 22:18:52,0,0,information_schema,def,614,NULL,NULL,16722290,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,XTRADB_RSEG,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,49,NULL,NULL,14680057,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMP_PER_INDEX,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,1755,NULL,NULL,16728660,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_TRX,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,4542,NULL,NULL,16769064,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,CHANGED_PAGE_BITMAPS,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,9,NULL,NULL,9437184,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_FT_BEING_DELETED,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,9,NULL,NULL,9437184,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_LOCK_WAITS,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,599,NULL,NULL,16749238,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_LOCKS,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,31244,NULL,NULL,16746784,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_TABLESPACES_ENCRYPTION,NULL,NULL,2019-07-18 22:18:53,0,0,information_schema,def,2012,NULL,NULL,16743864,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,XTRADB_INTERNAL_HASH_TABLES,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,327,NULL,NULL,16726050,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_FIELDS,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,594,NULL,NULL,16609428,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMPMEM_RESET,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,29,NULL,NULL,15204352,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMP,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,25,NULL,NULL,13107200,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_FT_INDEX_TABLE,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,1054,NULL,NULL,16744898,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_TABLESPACES,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,2082,NULL,NULL,16728870,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_MUTEXES,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,24017,NULL,NULL,16763866,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_BUFFER_PAGE_LRU,NULL,NULL,2019-07-18 22:18:54,0,0,information_schema,def,6669,NULL,NULL,16765866,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_FOREIGN_COLS,NULL,NULL,2019-07-18 22:18:55,0,0,information_schema,def,1748,NULL,NULL,16738848,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMP_RESET,NULL,NULL,2019-07-18 22:18:55,0,0,information_schema,def,25,NULL,NULL,13107200,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_BUFFER_POOL_STATS,NULL,NULL,2019-07-18 22:18:55,0,0,information_schema,def,257,NULL,NULL,16332350,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_FT_INDEX_CACHE,NULL,NULL,2019-07-18 22:18:55,0,0,information_schema,def,1054,NULL,NULL,16744898,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_FOREIGN,NULL,NULL,2019-07-18 22:18:55,0,0,information_schema,def,1752,NULL,NULL,16700064,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_METRICS,NULL,NULL,2019-07-18 22:18:57,0,0,information_schema,def,3003,NULL,NULL,16747731,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_FT_DEFAULT_STOPWORD,NULL,NULL,2019-07-18 22:18:57,0,0,information_schema,def,56,NULL,NULL,14680064,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMPMEM,NULL,NULL,2019-07-18 22:18:57,0,0,information_schema,def,29,NULL,NULL,15204352,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_TABLES,NULL,NULL,2019-07-18 22:18:57,0,0,information_schema,def,2060,NULL,NULL,16743680,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_SYS_COLUMNS,NULL,NULL,2019-07-18 22:18:57,0,0,information_schema,def,610,NULL,NULL,16613350,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
