TYPE,NAME,STATUS,COMMENT,COUNT,AVG_COUNT,MAX_COUNT,SUBSYSTEM,MIN_COUNT,TIME_RESET,COUNT_RESET,TIME_ELAPSED,TIME_ENABLED,TIME_DISABLED,MIN_COUNT_RESET,MAX_COUNT_RESET,AVG_COUNT_RESET
counter,metadata_table_handles_opened,disabled,Number of table handles opened,0,NULL,NULL,metadata,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,metadata_table_handles_closed,disabled,Number of table handles closed,0,NULL,NULL,metadata,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,metadata_table_reference_count,disabled,Table reference counter,0,NULL,NULL,metadata,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,metadata_mem_pool_size,enabled,Size of a memory pool InnoDB uses to store data dictionary and internal data structures in bytes,8388608,NULL,8388608,metadata,8388608,NULL,8388608,18186,2019-07-18 17:14:05,NULL,8388608,8388608,NULL
counter,lock_deadlocks,enabled,Number of deadlocks,0,0,NULL,lock,NULL,NULL,0,18186,2019-07-18 17:14:05,NULL,NULL,NULL,NULL
counter,lock_timeouts,enabled,Number of lock timeouts,0,0,NULL,lock,NULL,NULL,0,18187,2019-07-18 17:14:05,NULL,NULL,NULL,NULL
counter,lock_rec_lock_waits,disabled,Number of times enqueued into record lock wait queue,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_table_lock_waits,disabled,Number of times enqueued into table lock wait queue,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_rec_lock_requests,disabled,Number of record locks requested,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_rec_lock_created,disabled,Number of record locks created,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_rec_lock_removed,disabled,Number of record locks removed from the lock queue,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_rec_locks,disabled,Current number of record locks on tables,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_table_lock_created,disabled,Number of table locks created,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_table_lock_removed,disabled,Number of table locks removed from the lock queue,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,lock_table_locks,disabled,Current number of table locks on tables,0,NULL,NULL,lock,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
status_counter,lock_row_lock_current_waits,enabled,Number of row locks currently being waited for (innodb_row_lock_current_waits),0,0,0,lock,NULL,NULL,0,18188,2019-07-18 17:14:05,NULL,NULL,0,NULL
status_counter,lock_row_lock_time,enabled,"Time spent in acquiring row locks, in milliseconds (innodb_row_lock_time)",0,0,0,lock,NULL,NULL,0,18188,2019-07-18 17:14:05,NULL,NULL,0,NULL
value,lock_row_lock_time_max,enabled,"The maximum time to acquire a row lock, in milliseconds (innodb_row_lock_time_max)",0,NULL,0,lock,0,NULL,0,18188,2019-07-18 17:14:05,NULL,0,0,NULL
status_counter,lock_row_lock_waits,enabled,Number of times a row lock had to be waited for (innodb_row_lock_waits),0,0,0,lock,NULL,NULL,0,18188,2019-07-18 17:14:05,NULL,NULL,0,NULL
