VARIABLE_NAME,VARIABLE_VALUE
ABORTED_CLIENTS,0
ABORTED_CONNECTS,13
ACCESS_DENIED_ERRORS,0
ACL_COLUMN_GRANTS,0
ACL_DATABASE_GRANTS,0
ACL_FUNCTION_GRANTS,0
ACL_PROCEDURE_GRANTS,0
ACL_PROXY_USERS,1
ACL_ROLE_GRANTS,0
ACL_ROLES,0
ACL_TABLE_GRANTS,0
ACL_USERS,1
ARIA_PAGECACHE_BLOCKS_NOT_FLUSHED,0
ARIA_PAGECACHE_BLOCKS_UNUSED,15706
ARIA_PAGECACHE_BLOCKS_USED,4
ARIA_PAGECACHE_READ_REQUESTS,55613
ARIA_PAGECACHE_READS,1241
ARIA_PAGECACHE_WRITE_REQUESTS,2867
ARIA_PAGECACHE_WRITES,0
ARIA_TRANSACTION_LOG_SYNCS,0
BINLOG_COMMITS,0
BINLOG_GROUP_COMMITS,0
BINLOG_GROUP_COMMIT_TRIGGER_COUNT,0
BINLOG_GROUP_COMMIT_TRIGGER_LOCK_WAIT,0
BINLOG_GROUP_COMMIT_TRIGGER_TIMEOUT,0
BINLOG_SNAPSHOT_FILE,<blank>
BINLOG_SNAPSHOT_POSITION,0
BINLOG_BYTES_WRITTEN,0
BINLOG_CACHE_DISK_USE,0
BINLOG_CACHE_USE,0
BINLOG_STMT_CACHE_DISK_USE,0
BINLOG_STMT_CACHE_USE,0
BUSY_TIME,0.000000
BYTES_RECEIVED,399
BYTES_SENT,113
COM_ADMIN_COMMANDS,0
COM_ALTER_DB,0
COM_ALTER_DB_UPGRADE,0
COM_ALTER_EVENT,0
COM_ALTER_FUNCTION,0
COM_ALTER_PROCEDURE,0
COM_ALTER_SERVER,0
COM_ALTER_TABLE,0
COM_ALTER_TABLESPACE,0
COM_ANALYZE,0
COM_ASSIGN_TO_KEYCACHE,0
COM_BEGIN,0
COM_BINLOG,0
COM_CALL_PROCEDURE,0
COM_CHANGE_DB,0
COM_CHANGE_MASTER,0
COM_CHECK,0
COM_CHECKSUM,0
COM_COMMIT,0
COM_COMPOUND_SQL,0
COM_CREATE_DB,0
COM_CREATE_EVENT,0
COM_CREATE_FUNCTION,0
COM_CREATE_INDEX,0
COM_CREATE_PROCEDURE,0
COM_CREATE_ROLE,0
COM_CREATE_SERVER,0
COM_CREATE_TABLE,0
COM_CREATE_TEMPORARY_TABLE,0
COM_CREATE_TRIGGER,0
COM_CREATE_UDF,0
COM_CREATE_USER,0
COM_CREATE_VIEW,0
COM_DEALLOC_SQL,0
COM_DELETE,0
COM_DELETE_MULTI,0
COM_DO,0
COM_DROP_DB,0
COM_DROP_EVENT,0
COM_DROP_FUNCTION,0
COM_DROP_INDEX,0
COM_DROP_PROCEDURE,0
COM_DROP_ROLE,0
COM_DROP_SERVER,0
COM_DROP_TABLE,0
COM_DROP_TEMPORARY_TABLE,0
COM_DROP_TRIGGER,0
COM_DROP_USER,0
COM_DROP_VIEW,0
COM_EMPTY_QUERY,0
COM_EXECUTE_SQL,0
COM_FLUSH,0
COM_GET_DIAGNOSTICS,0
COM_GRANT,0
COM_GRANT_ROLE,0
COM_HA_CLOSE,0
COM_HA_OPEN,0
COM_HA_READ,0
COM_HELP,0
COM_INSERT,0
COM_INSERT_SELECT,0
COM_INSTALL_PLUGIN,0
COM_KILL,0
COM_LOAD,0
COM_LOCK_TABLES,0
COM_OPTIMIZE,0
COM_PRELOAD_KEYS,0
COM_PREPARE_SQL,0
COM_PURGE,0
COM_PURGE_BEFORE_DATE,0
COM_RELEASE_SAVEPOINT,0
COM_RENAME_TABLE,0
COM_RENAME_USER,0
COM_REPAIR,0
COM_REPLACE,0
COM_REPLACE_SELECT,0
COM_RESET,0
COM_RESIGNAL,0
COM_REVOKE,0
COM_REVOKE_ALL,0
COM_REVOKE_ROLE,0
COM_ROLLBACK,0
COM_ROLLBACK_TO_SAVEPOINT,0
COM_SAVEPOINT,0
COM_SELECT,1
COM_SET_OPTION,0
COM_SHOW_AUTHORS,0
COM_SHOW_BINLOG_EVENTS,0
COM_SHOW_BINLOGS,0
COM_SHOW_CHARSETS,0
COM_SHOW_COLLATIONS,0
COM_SHOW_CONTRIBUTORS,0
COM_SHOW_CREATE_DB,0
COM_SHOW_CREATE_EVENT,0
COM_SHOW_CREATE_FUNC,0
COM_SHOW_CREATE_PROC,0
COM_SHOW_CREATE_TABLE,0
COM_SHOW_CREATE_TRIGGER,0
COM_SHOW_DATABASES,0
COM_SHOW_ENGINE_LOGS,0
COM_SHOW_ENGINE_MUTEX,0
COM_SHOW_ENGINE_STATUS,0
COM_SHOW_ERRORS,0
COM_SHOW_EVENTS,0
COM_SHOW_EXPLAIN,0
COM_SHOW_FIELDS,0
COM_SHOW_FUNCTION_STATUS,0
COM_SHOW_GENERIC,0
COM_SHOW_GRANTS,0
COM_SHOW_KEYS,0
COM_SHOW_MASTER_STATUS,0
